,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path
0,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['Activity', 'Favorite Videos', 'App']",[],"['Activity', 'Favorite Videos', 'App']",static,number,,
1,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['Activity', 'Follower List', 'App']",[],"['Activity', 'Follower List', 'App']",static,number,,
2,Output_tiktok_takeout_dutch_structure,Tiktok,IsFastLane,"['Activity', 'Follower List', 'IsFastLane']",[],"['Activity', 'Follower List', 'IsFastLane']",static,boolean,,
3,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['Activity', 'Following List', 'App']",[],"['Activity', 'Following List', 'App']",static,number,,
4,Output_tiktok_takeout_dutch_structure,Tiktok,IsFastLane,"['Activity', 'Following List', 'IsFastLane']",[],"['Activity', 'Following List', 'IsFastLane']",static,boolean,,
5,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['Activity', 'Like List', 'App']",[],"['Activity', 'Like List', 'App']",static,number,,
6,Output_tiktok_takeout_dutch_structure,Tiktok,AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",[],"['Ads and data', 'Ad Interests', 'AdInterestCategories']",static,string,,
7,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['App Settings', 'Block', 'App']",[],"['App Settings', 'Block', 'App']",static,number,,
8,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['App Settings', 'Settings', 'App']",[],"['App Settings', 'Settings', 'App']",static,number,,
9,Output_tiktok_takeout_dutch_structure,Tiktok,App,"['Comment', 'Comments', 'App']",[],"['Comment', 'Comments', 'App']",static,number,,
10,Output_tiktok_takeout_dutch_structure,Tiktok,CreateDate,"['Profile', 'AIMoji', 'CreateDate']",[],"['Profile', 'AIMoji', 'CreateDate']",static,string,,
11,Output_tiktok_takeout_dutch_structure,Tiktok,PhoneNumber,"['Profile', 'Auto Fill', 'PhoneNumber']",[],"['Profile', 'Auto Fill', 'PhoneNumber']",static,string,,
12,Output_tiktok_takeout_dutch_structure,Tiktok,Email,"['Profile', 'Auto Fill', 'Email']",[],"['Profile', 'Auto Fill', 'Email']",static,string,,
13,Output_tiktok_takeout_dutch_structure,Tiktok,FirstName,"['Profile', 'Auto Fill', 'FirstName']",[],"['Profile', 'Auto Fill', 'FirstName']",static,string,,
14,Output_tiktok_takeout_dutch_structure,Tiktok,LastName,"['Profile', 'Auto Fill', 'LastName']",[],"['Profile', 'Auto Fill', 'LastName']",static,string,,
