,id,platform,keepID,json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,final_path
0,manifest:generationDate,Twitter,manifest:generationDate,manifest.js,generationDate,archiveInfo/generationDate,,"[""archiveInfo"", ""generationDate""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/archiveInfo/generationDate
1,account:accountId,Twitter,account:accountId,account.js,accountId,account/accountId,,"[""account"", ""accountId""]",static,string,data/account.js,No,pre-trial,data/account.js/account/accountId
2,account:createdAt,Twitter,account:createdAt,account.js,createdAt,account/createdAt,,"[""account"", ""createdAt""]",static,string,data/account.js,No,pre-trial,data/account.js/account/createdAt
3,verified:verified,Twitter,verified:verified,verified.js,verified,verified/verified,,"[""verified"", ""verified""]",static,boolean,data/verified.js,No,pre-trial,data/verified.js/verified/verified
4,community-note-rating:noteId,Twitter,community-note-rating:noteId,community-note-rating.js,noteId,communityNoteRating/noteId,,"[""communityNoteRating"", ""noteId""]",static,string,data/community-note-rating.js,No,pre-trial,data/community-note-rating.js/communityNoteRating/noteId
5,community-note-rating:helpfulnessLevel,Twitter,community-note-rating:helpfulnessLevel,community-note-rating.js,helpfulnessLevel,communityNoteRating/helpfulnessLevel,,"[""communityNoteRating"", ""helpfulnessLevel""]",static,string,data/community-note-rating.js,No,pre-trial,data/community-note-rating.js/communityNoteRating/helpfulnessLevel
6,community-note-rating:createdAt,Twitter,community-note-rating:createdAt,community-note-rating.js,createdAt,communityNoteRating/createdAt,,"[""communityNoteRating"", ""createdAt""]",static,string,data/community-note-rating.js,No,pre-trial,data/community-note-rating.js/communityNoteRating/createdAt
7,community-note-rating:userId,Twitter,community-note-rating:userId,community-note-rating.js,userId,communityNoteRating/userId,,"[""communityNoteRating"", ""userId""]",static,string,data/community-note-rating.js,No,pre-trial,data/community-note-rating.js/communityNoteRating/userId
8,community-note-rating:helpfulTags,Twitter,community-note-rating:helpfulTags,community-note-rating.js,helpfulTags,communityNoteRating/helpfulTags,,"[""communityNoteRating"", ""helpfulTags""]",static,string,data/community-note-rating.js,No,pre-trial,data/community-note-rating.js/communityNoteRating/helpfulTags
9,follower:accountId,Twitter,follower:accountId,follower.js,accountId,follower/accountId,,"[""follower"", ""accountId""]",static,string,data/follower.js,No,pre-trial,data/follower.js/follower/accountId
10,follower:userLink,Twitter,follower:userLink,follower.js,userLink,follower/userLink,,"[""follower"", ""userLink""]",static,string,data/follower.js,No,pre-trial,data/follower.js/follower/userLink
11,following:accountId,Twitter,following:accountId,following.js,accountId,following/accountId,,"[""following"", ""accountId""]",static,string,data/following.js,No,pre-trial,data/following.js/following/accountId
12,following:userLink,Twitter,following:userLink,following.js,userLink,following/userLink,,"[""following"", ""userLink""]",static,string,data/following.js,No,pre-trial,data/following.js/following/userLink
13,like:tweetId,Twitter,like:tweetId,like.js,tweetId,like/tweetId,,"[""like"", ""tweetId""]",static,string,data/like.js,No,pre-trial,data/like.js/like/tweetId
