,id,platform,keepID,json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,final_path
0,manifest:accountId,Twitter,,manifest.js,accountId,userInfo/accountId,,"[""userInfo"", ""accountId""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/userInfo/accountId
1,manifest:userName,Twitter,,manifest.js,userName,userInfo/userName,,"[""userInfo"", ""userName""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/userInfo/userName
2,manifest:displayName,Twitter,,manifest.js,displayName,userInfo/displayName,,"[""userInfo"", ""displayName""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/userInfo/displayName
3,manifest:sizeBytes,Twitter,,manifest.js,sizeBytes,archiveInfo/sizeBytes,,"[""archiveInfo"", ""sizeBytes""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/archiveInfo/sizeBytes
4,manifest:generationDate,Twitter,manifest:generationDate,manifest.js,generationDate,archiveInfo/generationDate,,"[""archiveInfo"", ""generationDate""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/archiveInfo/generationDate
5,manifest:isPartialArchive,Twitter,,manifest.js,isPartialArchive,archiveInfo/isPartialArchive,,"[""archiveInfo"", ""isPartialArchive""]",static,boolean,data/manifest.js,No,pre-trial,data/manifest.js/archiveInfo/isPartialArchive
6,manifest:maxPartSizeBytes,Twitter,,manifest.js,maxPartSizeBytes,archiveInfo/maxPartSizeBytes,,"[""archiveInfo"", ""maxPartSizeBytes""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/archiveInfo/maxPartSizeBytes
7,manifest:readmeInfo:fileName,Twitter,,manifest.js,fileName,readmeInfo/fileName,,"[""readmeInfo"", ""fileName""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/readmeInfo/fileName
8,manifest:directory,Twitter,,manifest.js,directory,readmeInfo/directory,,"[""readmeInfo"", ""directory""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/readmeInfo/directory
9,manifest:name,Twitter,,manifest.js,name,readmeInfo/name,,"[""readmeInfo"", ""name""]",static,string,data/manifest.js,No,pre-trial,data/manifest.js/readmeInfo/name
10,account-creation-ip:accountId,Twitter,,account-creation-ip.js,accountId,accountCreationIp/accountId,,"[""accountCreationIp"", ""accountId""]",static,string,data/account-creation-ip.js,No,pre-trial,data/account-creation-ip.js/accountCreationIp/accountId
11,account-creation-ip:userCreationIp,Twitter,,account-creation-ip.js,userCreationIp,accountCreationIp/userCreationIp,,"[""accountCreationIp"", ""userCreationIp""]",static,string,data/account-creation-ip.js,No,pre-trial,data/account-creation-ip.js/accountCreationIp/userCreationIp
