,platform,final_path,id,keepID
697,Facebook,preferences/feed/snooze.json/media,preferences:feed:snooze:media,feed:snooze:media
698,Facebook,preferences/feed/snooze.json/fbid,preferences:feed:snooze:fbid,feed:snooze:fbid
742,Facebook,your_facebook_activity/other_activity/your_video_consumption_summary.json/media,your_facebook_activity:other_activity:your_video_consumption_summary:media,other_activity:your_video_consumption_summary:media
743,Facebook,your_facebook_activity/other_activity/your_video_consumption_summary.json/fbid,your_facebook_activity:other_activity:your_video_consumption_summary:fbid,other_activity:your_video_consumption_summary:fbid
943,Facebook,your_facebook_activity/posts/edits_you_made_to_posts.json/timestamp,your_facebook_activity:posts:edits_you_made_to_posts:timestamp,posts:edits_you_made_to_posts:timestamp
944,Facebook,your_facebook_activity/posts/edits_you_made_to_posts.json/media,your_facebook_activity:posts:edits_you_made_to_posts:media,posts:edits_you_made_to_posts:media
945,Facebook,your_facebook_activity/posts/edits_you_made_to_posts.json/fbid,your_facebook_activity:posts:edits_you_made_to_posts:fbid,posts:edits_you_made_to_posts:fbid
950,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/timestamp,your_facebook_activity:other_activity:time_spent_on_facebook:timestamp,other_activity:time_spent_on_facebook:timestamp
951,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/media,your_facebook_activity:other_activity:time_spent_on_facebook:media,other_activity:time_spent_on_facebook:media
952,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/fbid,your_facebook_activity:other_activity:time_spent_on_facebook:fbid,other_activity:time_spent_on_facebook:fbid
964,Facebook,your_facebook_activity/comments_and_reactions/your_comment_edits.json/timestamp,your_facebook_activity:comments_and_reactions:your_comment_edits:timestamp,comments_and_reactions:your_comment_edits:timestamp
965,Facebook,your_facebook_activity/comments_and_reactions/your_comment_edits.json/media,your_facebook_activity:comments_and_reactions:your_comment_edits:media,comments_and_reactions:your_comment_edits:media
966,Facebook,your_facebook_activity/comments_and_reactions/your_comment_edits.json/fbid,your_facebook_activity:comments_and_reactions:your_comment_edits:fbid,comments_and_reactions:your_comment_edits:fbid
1027,Facebook,logged_information/interactions/groups_you've_visited.json/timestamp,interactions:groups_you've_visited:timestamp,your_interactions_on_facebook:groups_you_ve_visited:timestamp
1028,Facebook,logged_information/interactions/groups_you've_visited.json/media,interactions:groups_you've_visited:media,your_interactions_on_facebook:groups_you_ve_visited:media
1029,Facebook,logged_information/interactions/groups_you've_visited.json/fbid,interactions:groups_you've_visited:fbid,your_interactions_on_facebook:groups_you_ve_visited:fbid
