,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,final_path
0,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['Activity', 'Favorite Videos', 'App']",[],"['Activity', 'Favorite Videos', 'App']",static,number,,,Activity/Favorite Videos/App
1,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['Activity', 'Follower List', 'App']",[],"['Activity', 'Follower List', 'App']",static,number,,,Activity/Follower List/App
2,Output_TT_structure_tiktok_takeout_es,Tiktok,IsFastLane,"['Activity', 'Follower List', 'IsFastLane']",[],"['Activity', 'Follower List', 'IsFastLane']",static,boolean,,,Activity/Follower List/IsFastLane
3,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['Activity', 'Following List', 'App']",[],"['Activity', 'Following List', 'App']",static,number,,,Activity/Following List/App
4,Output_TT_structure_tiktok_takeout_es,Tiktok,IsFastLane,"['Activity', 'Following List', 'IsFastLane']",[],"['Activity', 'Following List', 'IsFastLane']",static,boolean,,,Activity/Following List/IsFastLane
5,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['Activity', 'Like List', 'App']",[],"['Activity', 'Like List', 'App']",static,number,,,Activity/Like List/App
6,Output_TT_structure_tiktok_takeout_es,Tiktok,AdInterestCategories,"['Ads and data', 'Ad Interests', 'AdInterestCategories']",[],"['Ads and data', 'Ad Interests', 'AdInterestCategories']",static,string,,,Ads and data/Ad Interests/AdInterestCategories
7,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['App Settings', 'Block', 'App']",[],"['App Settings', 'Block', 'App']",static,number,,,App Settings/Block/App
8,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['App Settings', 'Settings', 'App']",[],"['App Settings', 'Settings', 'App']",static,number,,,App Settings/Settings/App
9,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['Comment', 'Comments', 'App']",[],"['Comment', 'Comments', 'App']",static,number,,,Comment/Comments/App
10,Output_TT_structure_tiktok_takeout_es,Tiktok,CreateDate,"['Profile', 'AIMoji', 'CreateDate']",[],"['Profile', 'AIMoji', 'CreateDate']",static,string,,,Profile/AIMoji/CreateDate
11,Output_TT_structure_tiktok_takeout_es,Tiktok,PhoneNumber,"['Profile', 'Auto Fill', 'PhoneNumber']",[],"['Profile', 'Auto Fill', 'PhoneNumber']",static,string,,,Profile/Auto Fill/PhoneNumber
12,Output_TT_structure_tiktok_takeout_es,Tiktok,Email,"['Profile', 'Auto Fill', 'Email']",[],"['Profile', 'Auto Fill', 'Email']",static,string,,,Profile/Auto Fill/Email
13,Output_TT_structure_tiktok_takeout_es,Tiktok,FirstName,"['Profile', 'Auto Fill', 'FirstName']",[],"['Profile', 'Auto Fill', 'FirstName']",static,string,,,Profile/Auto Fill/FirstName
14,Output_TT_structure_tiktok_takeout_es,Tiktok,LastName,"['Profile', 'Auto Fill', 'LastName']",[],"['Profile', 'Auto Fill', 'LastName']",static,string,,,Profile/Auto Fill/LastName
15,Output_TT_structure_tiktok_takeout_es,Tiktok,Address,"['Profile', 'Auto Fill', 'Address']",[],"['Profile', 'Auto Fill', 'Address']",static,string,,,Profile/Auto Fill/Address
16,Output_TT_structure_tiktok_takeout_es,Tiktok,ZipCode,"['Profile', 'Auto Fill', 'ZipCode']",[],"['Profile', 'Auto Fill', 'ZipCode']",static,string,,,Profile/Auto Fill/ZipCode
17,Output_TT_structure_tiktok_takeout_es,Tiktok,Unit,"['Profile', 'Auto Fill', 'Unit']",[],"['Profile', 'Auto Fill', 'Unit']",static,string,,,Profile/Auto Fill/Unit
18,Output_TT_structure_tiktok_takeout_es,Tiktok,City,"['Profile', 'Auto Fill', 'City']",[],"['Profile', 'Auto Fill', 'City']",static,string,,,Profile/Auto Fill/City
19,Output_TT_structure_tiktok_takeout_es,Tiktok,State,"['Profile', 'Auto Fill', 'State']",[],"['Profile', 'Auto Fill', 'State']",static,string,,,Profile/Auto Fill/State
20,Output_TT_structure_tiktok_takeout_es,Tiktok,Country,"['Profile', 'Auto Fill', 'Country']",[],"['Profile', 'Auto Fill', 'Country']",static,string,,,Profile/Auto Fill/Country
21,Output_TT_structure_tiktok_takeout_es,Tiktok,App,"['Profile', 'Profile Information', 'App']",[],"['Profile', 'Profile Information', 'App']",static,number,,,Profile/Profile Information/App
22,Output_TT_structure_tiktok_takeout_es,Tiktok,MostRecentModificationTimeInApp,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",[],"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInApp']",static,string,,,Tiktok Live/Watch Live Settings/MostRecentModificationTimeInApp
23,Output_TT_structure_tiktok_takeout_es,Tiktok,MostRecentModificationTimeInWeb,"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",[],"['Tiktok Live', 'Watch Live Settings', 'MostRecentModificationTimeInWeb']",static,string,,,Tiktok Live/Watch Live Settings/MostRecentModificationTimeInWeb
24,Output_TT_structure_tiktok_takeout_es,Tiktok,note,"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",[],"['Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",static,string,,,Activity/Activity Summary/ActivitySummaryMap/note
