,participant,platform,final_path,date_added,duplicate_flag,keepID
0,Output_TT_structure_tiktok_takeout_es,Tiktok,Ads and data/Ad Interests/AdInterestCategories,pre-trial,No,Ads and data:Ad Interests:AdInterestCategories
1,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Activity Summary/ActivitySummaryMap/videosCommentedOnSinceAccountRegistration,pre-trial,No,Activity:Activity Summary:ActivitySummaryMap:videosCommentedOnSinceAccountRegistration
2,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Activity Summary/ActivitySummaryMap/videosSharedSinceAccountRegistration,pre-trial,No,Activity:Activity Summary:ActivitySummaryMap:videosSharedSinceAccountRegistration
3,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Activity Summary/ActivitySummaryMap/videosWatchedToTheEndSinceAccountRegistration,pre-trial,No,Activity:Activity Summary:ActivitySummaryMap:videosWatchedToTheEndSinceAccountRegistration
4,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/App Language,pre-trial,No,App Settings:Settings:SettingsMap:App Language
5,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Filter Comments,pre-trial,No,App Settings:Settings:SettingsMap:Filter Comments
6,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Interests,pre-trial,No,App Settings:Settings:SettingsMap:Interests
7,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Private Account,pre-trial,No,App Settings:Settings:SettingsMap:Private Account
8,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Web Language,pre-trial,No,App Settings:Settings:SettingsMap:Web Language
9,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Who Can Duet With Me,pre-trial,No,App Settings:Settings:SettingsMap:Who Can Duet With Me
10,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Who Can Post Comments,pre-trial,No,App Settings:Settings:SettingsMap:Who Can Post Comments
11,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Who Can Send Me Message,pre-trial,No,App Settings:Settings:SettingsMap:Who Can Send Me Message
12,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Who Can Stitch with your videos,pre-trial,No,App Settings:Settings:SettingsMap:Who Can Stitch with your videos
13,Output_TT_structure_tiktok_takeout_es,Tiktok,App Settings/Settings/SettingsMap/Who Can View Videos I Liked,pre-trial,No,App Settings:Settings:SettingsMap:Who Can View Videos I Liked
14,Output_TT_structure_tiktok_takeout_es,Tiktok,Profile/Profile Information/ProfileMap/likesReceived,pre-trial,No,Profile:Profile Information:ProfileMap:likesReceived
15,Output_TT_structure_tiktok_takeout_es,Tiktok,Profile/Profile Information/ProfileMap/userName,pre-trial,No,Profile:Profile Information:ProfileMap:userName
16,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow agencies to find and invite you,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow agencies to find and invite you
17,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow others to invite you to co-host in LIVE,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow others to invite you to co-host in LIVE
18,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow people to send and receive comments during your LIVE,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow people to send and receive comments during your LIVE
19,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow suggested LIVE hosts to invite you to co-host in LIVE,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow suggested LIVE hosts to invite you to co-host in LIVE
20,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow viewers to request to go LIVE with you,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to request to go LIVE with you
21,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow viewers to see and send questions and answers in your LIVE,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to see and send questions and answers in your LIVE
22,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Allow viewers to send you gifts during your LIVE,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Allow viewers to send you gifts during your LIVE
23,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Hide potential spam or offensive comments from your LIVE,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Hide potential spam or offensive comments from your LIVE
24,Output_TT_structure_tiktok_takeout_es,Tiktok,Tiktok Live/Go Live Settings/SettingsMap/Show your username and gift information in features with ranking lists,pre-trial,No,Tiktok Live:Go Live Settings:SettingsMap:Show your username and gift information in features with ranking lists
25,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Favorite Videos/FavoriteVideoList/Date,pre-trial,No,Activity:Favorite Videos:FavoriteVideoList:Date
26,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Favorite Videos/FavoriteVideoList/Link,pre-trial,No,Activity:Favorite Videos:FavoriteVideoList:Link
27,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Follower List/FansList/Date,pre-trial,No,Activity:Follower List:FansList:Date
28,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Follower List/FansList/UserName,pre-trial,No,Activity:Follower List:FansList:UserName
29,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Following List/Following/Date,pre-trial,No,Activity:Following List:Following:Date
30,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Following List/Following/UserName,pre-trial,No,Activity:Following List:Following:UserName
31,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Hashtag/HashtagList/HashtagName,pre-trial,No,Activity:Hashtag:HashtagList:HashtagName
32,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Hashtag/HashtagList/HashtagLink,pre-trial,No,Activity:Hashtag:HashtagList:HashtagLink
33,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Like List/ItemFavoriteList/date,pre-trial,No,Activity:Like List:ItemFavoriteList:date
34,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Like List/ItemFavoriteList/link,pre-trial,No,Activity:Like List:ItemFavoriteList:link
35,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Search History/SearchList/Date,pre-trial,No,Activity:Search History:SearchList:Date
36,Output_TT_structure_tiktok_takeout_es,Tiktok,Activity/Search History/SearchList/SearchTerm,pre-trial,No,Activity:Search History:SearchList:SearchTerm
